Molecule,SMILES_E1,SMILES_X1,SMILES_Y1,Ratio_X1,Ratio_Y1,Condition_Type,Condition_Val,Time_min,Temp_K,Alpha,Rate_1_min
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,35.370000000000005,522.8100000000006,0.8858577668506264,0.0091897405736236
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,2.5,30.81,512.13,0.9641454035063172,0.0072419726149589
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,8.875775743744573,525.3524064510092,0.958644509815371,0.0148640041317007
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,8.17,454.9200000000001,0.4324797949415441,0.0595212427922401
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,6.889999999999999,507.32,0.6907101856048555,0.0980386636900818
C14,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCC(=O)O,1.0,0.0,Iso,170.0,22.55200000000001,443.1891785628743,0.8658429358137812,0.01530653923028
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Iso,180.0,2.430798000000001,453.34,0.3308297907581164,0.1156237915046005
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,5.0,3.99,455.67,0.3185396032414534,0.098173051787737
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,2.5,3.99,445.13,0.164609764256028,0.044749925120736
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Dyn,2.5,2.003070645157237,439.0083870967499,0.072660370841994,0.04102190756331
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,37.97,529.3200000000006,0.9096330395208344,0.0090483599493974
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,18.630000000000003,480.9600000000003,0.7402505688802875,0.0110276886883485
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Dyn,10.0,8.283001938029312,519.2940064508904,0.9229764081276796,0.0528091966183098
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,170.0,47.932430000000046,443.17,0.9555351884536682,0.004060861949976
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Dyn,5.0,18.57717726562864,527.9851599998792,0.941382234471062,0.0151134809577357
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Iso,170.0,6.549999999999999,443.22,0.5374926106134328,0.0517907915833714
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,2.5,15.189999999999998,473.13,0.6639724706659116,0.0359365810893237
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Dyn,5.0,6.390000000000001,467.5,0.3798693608308502,0.0732937963951968
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,45.84393999999994,453.1687674698795,0.9167532017999308,0.0034543124756144
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,10.0,7.01,508.41,0.8843335439039798,0.0277953253316488
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,165.0,80.14500000000014,438.16,0.9877315060687876,0.00096162201979
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,66.13551999999996,453.1673703614458,0.9667128187377408,0.0016120124886199
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,24.950000000000003,496.7700000000005,0.7978447937645491,0.0078466246436353
C12,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,44.34085999999994,453.167869760479,0.9113880235375562,0.0036078374745304
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Iso,180.0,3.0331,453.26,0.238172907008994,0.0651752171008372
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,26.81,501.42000000000047,0.8127533805874507,0.0080586955799356
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,165.0,71.92500000000011,438.16,0.9760393843356856,0.0018030412871031
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Dyn,2.5,16.39,475.3800000000003,0.7118719430858167,0.0144915139814717
C10,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCCCC(=O)O,OC(=O)CCCCCCCCC(=O)O,1.0,0.0,Iso,180.0,6.822620000000001,453.2,0.4447890385807445,0.0435979870533798
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Iso,170.0,26.6,443.18,0.8122017181037225,0.0142607154220262
C8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCCCC(=O)O,OC(=O)CCCCCCC(=O)O,1.0,0.0,Iso,160.0,40.0,433.18,0.7574161136214242,0.0086585563252317
C6,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,OC(=O)CCCCC(=O)O,OC(=O)CCCCC(=O)O,1.0,0.0,Iso,165.0,41.398967999999954,438.17,0.9846515270164448,0.0019672199813191
