Sample_ID,Ratio_X1,Ratio_Y1,SMILES_E1,SMILES_X1,SMILES_Y1,Condition_Type,Condition_Val,Time_min,Temp_K,Alpha,Rate_1_min
E1_X40_Y60,0.4,0.6,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,51.17792067410887,433.22471823922,0.818188062860468,0.000924981109892716
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,160.0,3.0514174875658107,433.25719296461,0.0821516833781073,0.0225289267344646
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,33.54526762482552,453.21507141474194,0.881158042470172,0.000747275688172867
E1_X70_Y30,0.7,0.3,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,10.09463174809898,453.24623545617294,0.688612556339373,0.0313268552184791
E1_X0_Y100,0.0,1.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,25.1866522228687,453.24623122771,0.852507965619926,0.00621147627702194
E1_X40_Y60,0.4,0.6,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,28.37554885444233,453.21533688932396,0.871984922073895,0.00171641247861956
E1_X90_Y10,0.9,0.1,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,79.902578298999,463.761309601647,0.931472253364488,0.00246891815875108
E1_X40_Y60,0.4,0.6,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,62.615467496796015,447.115919235905,0.810083607143256,0.0112219566141409
E1_X0_Y100,0.0,1.0,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Dyn,1.0,45.518319960772004,446.225991624509,0.644527876655791,0.0208139978840195
E1_X20_Y80,0.2,0.8,C1C(O1)CN(CC2CO2)C3=CC=C(C=C3)OCC4CO4,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,Iso,180.0,32.08677772809392,453.21569984481,0.879919596097357,0.000972771264457271
